THUMB,INDEX,MIDDLE,RING,LITTLE,G1,G2,G3,LABEL
663,734,701,962,965,13052,-296,10052,1
663,733,701,962,965,12624,-704,10228,1
663,734,701,962,965,12268,-1232,10088,1
663,734,702,963,965,12060,-2468,11316,1
663,734,701,962,965,8736,-2308,12556,1
663,734,697,962,965,8124,-1200,14716,1
662,734,688,962,965,5804,-1388,14240,1
662,735,684,962,965,4844,-1508,15108,1
662,735,690,962,964,3588,-2076,15144,1
662,734,693,962,965,2736,-3280,15524,1
662,735,695,962,964,2376,-3724,15204,1
662,734,696,962,965,1844,-3928,15164,1
662,735,697,962,964,1636,-4264,15244,1
662,734,697,962,965,1512,-4432,14976,1
662,735,697,962,965,1384,-4588,14996,1
662,734,698,962,964,1412,-4848,15028,1
662,734,698,962,964,1112,-4784,15048,1
662,734,699,962,965,1156,-4568,15124,1
662,734,699,962,964,1456,-4404,15048,1
662,734,699,962,964,1876,-4388,15644,1
662,734,699,962,964,1380,-4104,15400,1
662,734,700,962,964,1552,-4164,15500,1
662,734,705,961,964,2736,-3804,15332,1
663,734,709,962,964,4260,-3888,14956,1
663,734,707,961,964,5680,-3884,14456,1
663,734,705,962,964,6504,-4204,14572,1
663,734,704,961,964,6924,-4520,13944,1
663,734,703,961,964,7436,-4928,13736,1
663,734,702,961,964,9552,-4924,12940,1
663,734,703,961,964,9924,-4280,11808,1
663,734,702,962,964,10880,-4600,10964,1
663,734,701,961,965,11460,-5328,10616,1
663,734,701,961,964,12164,-6072,9108,1
663,734,700,961,965,13064,-5904,7620,1
663,734,700,961,965,14140,-6400,7388,1
663,734,700,961,964,14212,-5840,6264,1
663,734,700,961,965,14808,-5940,5232,1
663,734,700,961,965,14764,-5368,5500,1
663,734,701,961,964,14928,-6080,4812,1
663,735,701,961,964,14820,-5220,4988,1
663,735,701,961,964,15040,-5288,4480,1
663,735,701,961,964,15488,-5212,4452,1
663,735,701,962,965,15592,-5132,4528,1
663,736,702,962,965,15272,-5016,4664,1
663,736,702,962,965,15460,-3964,4344,1
663,736,702,962,965,15400,-4304,5388,1
663,735,701,962,965,15340,-3748,4844,1
663,735,701,961,965,15460,-3320,5112,1
663,735,702,962,965,15684,-3336,5176,1
663,735,701,962,965,15636,-3168,5232,1
663,735,701,961,964,15476,-2576,5156,1
663,735,701,961,965,15884,-2564,5408,1
663,735,701,961,964,15524,-2140,5380,1
663,735,701,961,965,15192,-1768,5260,1
663,735,701,962,965,15064,-2012,6748,1
663,735,701,961,964,15032,-1856,7304,1
663,735,701,961,965,14628,-2444,7276,1
663,735,701,961,964,14744,-2568,7684,1
663,735,701,961,964,13668,-2892,9012,1
663,734,701,961,964,13248,-3144,9544,1
663,734,701,961,964,12616,-2604,10532,1
663,734,703,961,964,11772,-2712,11380,1
663,735,703,961,964,10828,-2196,12560,1
663,735,702,961,964,9220,-1368,12448,1
663,735,702,961,964,8644,-1400,14048,1
663,735,701,961,964,8228,-968,13968,1
663,735,701,961,964,6924,-784,14184,1
663,735,701,961,964,6408,-208,14760,1
663,734,699,961,964,6048,-380,14832,1
663,734,699,961,964,5988,-348,14632,1
663,734,698,961,964,5580,-648,15300,1
663,734,698,961,964,5440,-1336,15448,1
663,734,699,961,964,5408,-1820,14628,1
663,734,699,961,964,5472,-1600,14636,1
663,734,700,961,964,5100,-1556,15096,1
663,734,700,961,963,5428,-2344,15288,1
663,734,700,961,963,5200,-2152,14444,1
663,734,701,961,963,5164,-2228,15416,1
662,734,701,961,963,4960,-2304,14732,1
662,734,703,961,963,5172,-2416,15712,1
662,734,703,961,964,5060,-1944,14584,1
663,734,703,961,964,4860,-2120,14912,1
663,734,703,961,964,5492,-1020,14644,1
662,735,703,961,964,6044,-1432,14748,1
662,735,702,961,964,7304,-2648,14628,1
662,735,703,961,964,7928,-3588,13636,1
662,740,705,962,965,7784,-3908,13612,1
662,751,713,964,967,7408,-2620,13932,1
662,749,714,964,967,7860,-3108,13444,1
662,748,713,963,966,8220,-3472,13156,1
662,747,712,963,966,8260,-3616,13516,1
662,746,712,963,966,7876,-4036,14136,1
662,745,711,963,966,7648,-4376,13340,1
